word,synonym
minus,negative
adventurous,adventuresome
audacious,daring
audacious,venturesome
audacious,venturous
swaggering,swashbuckling
better,best
inadvisable,unadvisable
well-advised,advised
ill-advised,unadvised
aerobic,aerophilic
aerobic,aerophilous
anaerobic,anaerobiotic
aesthetic,esthetic
aesthetic,aesthetical
aesthetic,esthetical
cosmetic,enhancive
inaesthetic,unaesthetic
inartistic,unartistic
smitten,stricken
smitten,struck
uninfluenced,unswayed
uninfluenced,untouched
affected,unnatural
agonistic,strained
artificial,contrived
artificial,hokey
artificial,stilted
constrained,forced
constrained,strained
lifelike,natural
affirmative,affirmatory
dissentient,dissenting
dissentient,dissident
afeard,afeared
aghast,appalled
aghast,dismayed
aghast,shocked
frightened,scared
horrified,horror-stricken
horrified,horror-struck
hydrophobic,aquaphobic
panicky,panicked
panicky,panic-stricken
panicky,panic-struck
panicky,terrified
panicky,frightened
terror-stricken,terror-struck
unafraid,fearless
unblinking,unflinching
unblinking,unintimidated
unblinking,unshrinking
battleful,bellicose
battleful,combative
competitive,militant
hard-hitting,high-pressure
predatory,rapacious
predatory,raptorial
predatory,ravening
predatory,vulturine
predatory,vulturous
pugnacious,rough
unaggressive,nonaggressive
aroused,emotional
aroused,excited
aroused,worked_up
distraught,overwrought
jolted,shaken
feverish,hectic
frantic,frenetic
frantic,phrenetic
frantic,frenzied
churning,roiling
churning,roiled
churning,roily
churning,turbulent
churning,churned-up
rippled,ruffled
annoying,bothersome
annoying,galling
annoying,irritating
annoying,nettlesome
annoying,pesky
annoying,pestering
annoying,pestiferous
annoying,plaguy
annoying,plaguey
annoying,teasing
annoying,vexatious
annoying,vexing
harsh,abrasive
nerve-racking,nerve-wracking
nerve-racking,stressful
nerve-racking,trying
air-to-surface,air-to-ground
alert,watchful
argus-eyed,open-eyed
argus-eyed,vigilant
argus-eyed,wakeful
heads-up,wide-awake
lidless,sleepless
unalert,unwatchful
unalert,unvigilant
assignable,conveyable
assignable,negotiable
assignable,transferable
assignable,transferrable
inalienable,unalienable
absolute,infrangible
absolute,inviolable
nontransferable,unassignable
nontransferable,untransferable
alive,live
asleep,at_peace
asleep,at_rest
asleep,deceased
asleep,departed
asleep,gone
bloodless,exsanguine
bloodless,exsanguinous
breathless,inanimate
breathless,pulseless
d,d.o.a.
deathlike,deathly
lifeless,exanimate
extinct,out
alphabetic,alphabetical
alphabetized,alphabetised
altruistic,selfless
egoistic,egoistical
egoistic,egocentric
egoistic,self-centered
egoistic,self-centred
self-absorbed,self-involved
double-barreled,double-barrelled
enigmatic,oracular
multivalent,multi-valued
polysemous,polysemantic
pushful,pushy
aspirant,aspiring
aspirant,wishful
compulsive,determined
compulsive,driven
manque,would-be
unambitious,ambitionless
full,good
wide,wide-cut
wide,full
meager,meagre
meager,meagerly
meager,stingy
meager,scrimpy
bare,scanty
bare,spare
measly,miserable
measly,paltry
constructive-metabolic,energy-storing
catabolic,katabolic
destructive-metabolic,energy-releasing
anastigmatic,stigmatic
katabatic,catabatic
anal,anal_retentive
analogue,analog
analogue,linear
analytic,analytical
synthetic,synthetical
analytic,uninflected
agglutinative,polysynthetic
analytic,analytical
synthetic,synthetical
aggravated,provoked
angered,enraged
angered,furious
angered,infuriated
angered,maddened
choleric,irascible
huffy,mad
huffy,sore
indignant,incensed
indignant,outraged
indignant,umbrageous
irate,ireful
smoldering,smouldering
wrathful,wroth
wrathful,wrothful
acrimonious,bitter
sentient,animate
insentient,insensate
inanimate,nonliving
inanimate,non-living
animated,alive
enlivened,spirited
full_of_life,lively
full_of_life,vital
reanimated,revived
anonymous,anon.
nameless,unidentified
nameless,unknown
nameless,unnamed
binomial,binominal
postmortem,postmortal
anterior,prior
anticipatory,prevenient
preexistent,pre-existent
preexistent,preexisting
preexistent,pre-existing
attendant,consequent
attendant,accompanying
attendant,concomitant
attendant,incidental
attendant,ensuant
attendant,resultant
attendant,sequent
later,ulterior
later,posterior
semiaquatic,subaquatic
subaqueous,subaquatic
subaqueous,submerged
subaqueous,submersed
subaqueous,underwater
amphibiotic,semiaquatic
above-mentioned,above-named
introductory,prefatorial
introductory,prefatory
preparatory,preparative
preparatory,propaedeutic
previous,old
back-to-back,consecutive
following,undermentioned
following,next
new,unexampled
prenatal,antenatal
prenatal,antepartum
postnatal,postpartum
ante_meridiem,a.m.
post_meridiem,p.m.
back,hind
back,hinder
appetizing,appetising
mouth-watering,savory
mouth-watering,savoury
unappetizing,unappetising
offish,standoffish
proper,right
improper,wrong
collect,cod
collectible,collectable
collectible,payable
delinquent,overdue
apposite,apt
apposite,pertinent
inapposite,out_of_place
amphiprostylar,amphiprostyle
amphiprostylar,amphistylar
amphiprostylar,porticoed
prostyle,pseudoprostyle
peristylar,pseudoperipteral
columniform,columnar
columniform,columnlike
noncolumned,uncolumned
arboreal,arboreous
arboreal,tree-living
arenaceous,sandy
arenaceous,sandlike
argillaceous,clayey
equipped,weaponed
militarized,militarised
defenseless,defenceless
armored,armoured
armor-clad,armour-clad
armor-clad,armor-plated
armor-clad,armour-plated
armor-clad,steel-plated
lightly_armored,lightly_armoured
mail-clad,mailed
unarmored,unarmoured
barbed,barbellate
barbed,briary
barbed,briery
barbed,bristled
barbed,bristly
barbed,burred
barbed,burry
barbed,prickly
barbed,setose
barbed,setaceous
barbed,spiny
barbed,thorny
clawed,taloned
thornless,spineless
armored,armoured
scaly,scaley
scaly,scaled
unarmored,unarmoured
crafty,cunning
crafty,dodgy
crafty,foxy
crafty,guileful
crafty,knavish
crafty,slick
crafty,sly
crafty,tricksy
crafty,tricky
crafty,wily
cute,precious
designing,scheming
eloquent,facile
eloquent,fluent
eloquent,silver
eloquent,silver-tongued
eloquent,smooth-spoken
inarticulate,unarticulate
aphonic,voiceless
dumb,mute
dumb,silent
incoherent,tongue-tied
mute,tongueless
mute,unspoken
mute,wordless
speechless,dumb
nonspeaking,walk-on
articulated,articulate
discredited,disgraced
discredited,dishonored
discredited,shamed
embarrassed,humiliated
embarrassed,mortified
guilty,hangdog
guilty,shamefaced
guilty,shamed
shamefaced,sheepish
audacious,barefaced
audacious,bodacious
audacious,bald-faced
audacious,brassy
audacious,brazen
audacious,brazen-faced
audacious,insolent
shameless,unblushing
unabashed,unembarrassed
assertive,self-asserting
assertive,self-assertive
emphatic,forceful
reticent,self-effacing
reticent,retiring
associative,associatory
attached,committed
bespoken,betrothed
unattached,uncommitted
unengaged,unpledged
unengaged,unpromised
glued,pasted
unaffixed,loose
sessile,stalkless
pedunculate,stalked
free-swimming,unattached
freestanding,separate
bindable,bondable
on_guard,on_one's_guard
on_guard,upon_one's_guard
on_guard,on_your_guard
captive,absorbed
captive,engrossed
captive,enwrapped
captive,intent
captive,wrapped
advertent,heedful
absent,absentminded
absent,abstracted
absent,scatty
distracted,distrait
dreamy,moony
dreamy,woolgathering
drowsy,oscitant
drowsy,yawning
forgetful,oblivious
bewitching,captivating
bewitching,enchanting
bewitching,enthralling
bewitching,entrancing
bewitching,fascinating
charismatic,magnetic
cunning,cute
engaging,piquant
fetching,taking
fetching,winning
glossy,showy
hypnotic,mesmeric
hypnotic,mesmerizing
hypnotic,spellbinding
homely,plain
unprepossessing,unpresentable
attention-getting,catchy
ascribable,due
ascribable,imputable
ascribable,referable
unattributable,unascribable
attributive,prenominal
big,enceinte
big,expectant
big,gravid
big,great
big,large
big,heavy
big,with_child
audible,hearable
inaudible,unhearable
breathed,voiceless
silent,unsounded
supersonic,ultrasonic
sonic,transonic
bright,hopeful
bright,promising
fortunate,rosy
inauspicious,unfortunate
golden,favorable
golden,favourable
golden,lucky
golden,prosperous
ill,inauspicious
ill,ominous
authorized,authorised
accredited,commissioned
accredited,licensed
accredited,licenced
approved,sanctioned
canonized,canonised
canonized,glorified
empowered,sceptered
empowered,sceptred
unauthorized,unauthorised
unaccredited,unlicensed
unaccredited,unlicenced
autoecious,homoecious
autogenous,autogenic
self-generated,self-produced
heterogenous,heterogeneous
autoloading,self-loading
autoloading,semiautomatic
automated,machine-controlled
automated,machine-driven
self-acting,self-activating
self-acting,self-moving
self-acting,self-regulating
hand-operated,non-automatic
gettable,getable
gettable,obtainable
gettable,procurable
purchasable,for_sale
inaccessible,unobtainable
inaccessible,unprocurable
inaccessible,untouchable
astir,up
insomniac,sleepless
insomniac,watchful
unsleeping,wide-awake
waking,wakeful
dormant,hibernating
dormant,torpid
drowsy,drowsing
drowsy,dozy
fast_asleep,sound_asleep
sleepy,sleepy-eyed
sleepy,sleepyheaded
slumberous,slumbery
slumberous,slumbrous
slumberous,somnolent
styptic,hemostatic
aware,cognizant
aware,cognisant
alert,alive
alert,awake
unaware,incognizant
oblivious,unmindful
appalling,dismaying
atrocious,frightful
atrocious,horrifying
atrocious,horrible
atrocious,ugly
awful,dire
awful,direful
awful,dread
awful,dreaded
awful,dreadful
awful,fearful
awful,fearsome
awful,frightening
awful,horrendous
awful,horrific
awful,terrible
baleful,forbidding
baleful,menacing
baleful,minacious
baleful,minatory
baleful,ominous
baleful,sinister
baleful,threatening
bloodcurdling,hair-raising
bloodcurdling,nightmarish
chilling,scarey
chilling,scary
chilling,shivery
chilling,shuddery
creepy,creepy-crawly
formidable,redoubtable
formidable,unnerving
ghastly,grim
ghastly,grisly
ghastly,gruesome
ghastly,macabre
ghastly,sick
terrific,terrifying
assuasive,soothing
comforting,consolatory
comforting,consoling
unreassuring,worrisome
backmost,hindermost
backmost,hindmost
backmost,rearmost
rear,rearward
advance,advanced
advance,in_advance
foremost,frontmost
frontal,head-on
directing,directional
directing,directive
directing,guiding
hardbacked,hardback
hardbacked,hardbound
hardbacked,hardcover
razorback,razor-backed
backswept,sweptback
cacuminal,retroflex
converse,reversed
converse,transposed
inverse,reverse
rearward,reverse
reflexive,self-referent
retral,retrograde
retroflex,retroflexed
returning,reversive
guardant,gardant
guardant,full-face
headfirst,headlong
bashful,blate
brash,cheeky
brash,nervy
bumptious,self-assertive
fresh,impertinent
fresh,impudent
fresh,overbold
fresh,smart
fresh,saucy
fresh,sassy
fresh,wise
assumptive,assuming
assumptive,presumptuous
barreled,barrelled
unbarreled,unbarrelled
duckbill,duck-billed
short-beaked,short-billed
stratified,bedded
foliate,foliated
foliate,foliaceous
laminar,laminal
layered,superimposed
ferned,ferny
fernlike,ferny
rushlike,sedgelike
bald,bald-headed
bald,bald-pated
beardless,smooth-faced
hairy,haired
hairy,hirsute
canescent,hoary
coarse-haired,coarse-furred
comate,comose
comate,comal
curly-haired,curly-coated
dark-haired,dark-coated
downy,pubescent
downy,puberulent
downy,sericeous
furred,furry
fuzzed,fuzzy
glossy-haired,glossy-coated
glossy-haired,glossy-furred
lanate,woolly
pilous,pilose
pilous,pilary
tomentose,tomentous
velvety-furred,velvety-haired
wire-haired,wiry-coated
wooly,woolly
wooly,wooly-haired
wooly,woolly-haired
awned,awny
load-bearing,supporting
bonny,bonnie
bonny,comely
bonny,fair
bonny,sightly
fine-looking,good-looking
fine-looking,better-looking
fine-looking,handsome
fine-looking,well-favored
fine-looking,well-favoured
glorious,resplendent
glorious,splendid
glorious,splendiferous
grotesque,monstrous
hideous,repulsive
ill-favored,ill-favoured
unlovely,unpicturesque
big-bellied,great_bellied
bellyless,flat-bellied
beltlike,belt-like
unbelted,beltless
baleful,baneful
malefic,malevolent
malefic,malign
malefic,evil
despiteful,spiteful
despiteful,vindictive
bitchy,catty
bitchy,cattish
poisonous,venomous
poisonous,vicious
benign,benignant
champion,prizewinning
high-grade,top-quality
high-grade,top-grade
first,foremost
first,world-class
go-to-meeting,Sunday-go-to-meeting
optimum,optimal
unexcelled,unexceeded
unexcelled,unsurpassed
last,last-place
last,lowest
pessimal,pessimum
fitter,healthier
worse,worsened
ameliorating,ameliorative
ameliorating,amelioratory
ameliorating,meliorative
biface,bifacial
janus-faced,Janus-faced
janus-faced,two-faced
moon-faced,round-faced
unilateral,one-sided
multilateral,many-sided
bilateral,two-sided
bipartite,two-part
bipartite,two-way
quadrilateral,four-sided
quadripartite,four-party
trilateral,triangular
trilateral,three-sided
tripartite,three-party
tripartite,three-way
binaural,biaural
stereophonic,stereo
stereophonic,two-channel
mono,monophonic
mono,single-channel
binucleate,binuclear
binucleate,binucleated
mononuclear,mononucleate
trinucleate,trinuclear
trinucleate,trinucleated
bipedal,biped
bipedal,two-footed
quadrupedal,quadruped
quadrupedal,four-footed
african-american,African-American
african-american,Afro-American
colored,coloured
colored,dark
colored,dark-skinned
colored,non-white
caucasian,Caucasian
caucasian,Caucasoid
blond,blonde
blond,light-haired
ash-blonde,platinum-blonde
ash-blonde,towheaded
fair,fairish
flaxen,sandy
brunet,brunette
bronzed,suntanned
bronzed,tanned
brown,browned
dark-haired,black-haired
dark-haired,brown-haired
dark-skinned,dusky
dark-skinned,swart
dark-skinned,swarthy
acned,pimpled
acned,pimply
acned,pustulate
blebbed,blebby
marred,scarred
pocked,pockmarked
unblemished,unmarred
unblemished,unmutilated
stainless,unstained
stainless,unsullied
stainless,untainted
stainless,untarnished
bloodstained,gory
bloodthirsty,bloody-minded
bloodthirsty,sanguinary
crimson,red
crimson,violent
homicidal,murderous
gory,sanguinary
gory,sanguineous
gory,slaughterous
gory,butcherly
nonviolent,unbloody
audacious,brave
audacious,dauntless
audacious,fearless
audacious,hardy
audacious,intrepid
audacious,unfearing
daredevil,temerarious
foolhardy,heady
foolhardy,rash
foolhardy,reckless
heroic,heroical
overreaching,vaulting
fearful,timorous
fearful,trepid
mousy,mousey
chained,enchained
fettered,shackled
furled,rolled
trussed,tied
unchained,unfettered
unchained,unshackled
unchained,untied
laced,tied
unlaced,untied
tied,fastened
untied,unfastened
afoul,foul
afoul,fouled
enmeshed,intermeshed
knotty,snarled
knotty,snarly
thrown,thrown_and_twisted
disentangled,loosened
disentangled,unsnarled
paperback,paperbacked
deckled,deckle-edged
deckled,featheredged
lower-class,low-class
non-u,non-U
propertyless,wage-earning
propertyless,working-class
propertyless,blue-collar
bourgeois,conservative
bourgeois,materialistic
propertied,property-owning
brachycephalic,brachycranial
brachycephalic,brachycranic
broad-headed,roundheaded
broad-headed,short-headed
dolichocephalic,dolichocranial
dolichocephalic,dolichocranic
brave,courageous
desperate,heroic
game,gamy
game,gamey
game,gritty
game,mettlesome
game,spirited
game,spunky
stalwart,stouthearted
valiant,valorous
cowardly,fearful
chicken,chickenhearted
chicken,lily-livered
chicken,white-livered
chicken,yellow
chicken,yellow-bellied
craven,recreant
dastard,dastardly
faint,fainthearted
faint,timid
faint,faint-hearted
pusillanimous,poor-spirited
pusillanimous,unmanly
gutsy,plucky
nursed,suckled
breathing,eupneic
breathing,eupnoeic
breathless,dyspneic
breathless,dyspnoeic
breathless,dyspneal
breathless,dyspnoeal
smothering,suffocating
smothering,suffocative
blown,pursy
blown,short-winded
blown,winded
crystallized,crystalised
amorphous,uncrystallized
amorphous,uncrystallised
ablaze,inflamed
ablaze,reddened
floodlit,floodlighted
illuminated,lighted
illuminated,lit
illuminated,well-lighted
incandescent,candent
sunlit,sunstruck
acheronian,Acheronian
acheronian,Acherontic
acheronian,Stygian
black,pitch-black
black,pitch-dark
cimmerian,Cimmerian
dim,subdued
dusky,twilight
dusky,twilit
glooming,gloomy
glooming,gloomful
glooming,sulky
lightless,unilluminated
lightless,unlighted
lightless,unlit
tenebrous,tenebrific
tenebrous,tenebrious
murky,mirky
shady,shadowed
shady,shadowy
shady,umbrageous
hatched,crosshatched
moonlit,moony
agleam,gleaming
agleam,nitid
aglow,lambent
aglow,lucent
aglow,luminous
aglitter,coruscant
aglitter,fulgid
aglitter,glinting
aglitter,glistering
aglitter,glittering
aglitter,glittery
aglitter,scintillant
aglitter,scintillating
aglitter,sparkly
beady,beadlike
beady,buttony
beady,buttonlike
beaming,beamy
beaming,effulgent
beaming,radiant
beaming,refulgent
blazing,blinding
blazing,dazzling
blazing,fulgent
blazing,glaring
blazing,glary
glistening,glossy
glistening,lustrous
glistening,sheeny
glistening,shiny
glistening,shining
iridescent,nacreous
iridescent,opalescent
iridescent,opaline
iridescent,pearlescent
satiny,sleek
satiny,silken
satiny,silky
satiny,silklike
satiny,slick
silver,silvern
silver,silvery
flat,mat
flat,matt
flat,matte
flat,matted
lackluster,lacklustre
lackluster,lusterless
lackluster,lustreless
soft,subdued
dimmed,dim
undimmed,bright
prejudiced,discriminatory
racist,antiblack
racist,anti-Semite
unprejudiced,impartial
color-blind,colour-blind
color-blind,nonracist
broad,large-minded
broad,liberal
broad,tolerant
free-thinking,latitudinarian
free-thinking,undogmatic
free-thinking,undogmatical
narrow-minded,narrow
close-minded,closed-minded
dogmatic,dogmatical
illiberal,intolerant
opinionated,opinionative
opinionated,self-opinionated
petty,small-minded
broken,unkept
unbroken,kept
dashed,dotted
fitful,interrupted
fitful,off-and-on
brotherly,brotherlike
brotherly,fraternal
sisterly,sisterlike
sisterly,sororal
fraternal,biovular
identical,monovular
buried,inhumed
buried,interred
drudging,laboring
drudging,labouring
drudging,toiling
engaged,occupied
bone-idle,bone-lazy
faineant,indolent
faineant,lazy
faineant,otiose
faineant,slothful
faineant,work-shy
bony,boney
boned,deboned
buttoned,fastened
botonee,botonnee
unbuttoned,unfastened
capitalistic,capitalist
competitive,free-enterprise
competitive,private-enterprise
individualistic,laissez-faire
socialistic,socialist
collectivist,collectivistic
collectivist,collectivized
collectivist,collectivised
collectivist,state-controlled
cacophonous,cacophonic
cackly,squawky
croaky,guttural
grating,gravelly
grating,rasping
grating,raspy
grating,rough
grating,scratchy
gruff,hoarse
gruff,husky
jangling,jangly
raucous,strident
rending,ripping
rending,splitting
euphonious,euphonous
silvern,silvery
computable,estimable
countable,denumerable
countable,enumerable
countable,numerable
countless,infinite
countless,innumerable
countless,innumerous
countless,multitudinous
countless,myriad
countless,numberless
countless,uncounted
countless,unnumberable
countless,unnumbered
countless,unnumerable
incomputable,inestimable
incomputable,immeasurable
placid,quiet
placid,still
placid,tranquil
placid,smooth
placid,unruffled
angry,furious
angry,raging
angry,tempestuous
angry,wild
billowy,billowing
billowy,surging
blustering,blusterous
blustering,blustery
boisterous,fierce
boisterous,rough
blowy,breezy
blowy,windy
gusty,puffy
confident,surefooted
confident,sure-footed
attended,tended_to
neglected,unattended
certain,sure
conscientious,painstaking
conscientious,scrupulous
detailed,elaborate
detailed,elaborated
minute,narrow
overcareful,too-careful
casual,cursory
casual,passing
casual,perfunctory
haphazard,slapdash
haphazard,slipshod
haphazard,sloppy
heedless,reckless
offhand,offhanded
flesh-eating,meat-eating
flesh-eating,zoophagous
predacious,predaceous
anthophagous,anthophilous
carpophagous,fruit-eating
plant-eating,phytophagic
plant-eating,phytophagous
plant-eating,phytophilous
saprophagous,saprozoic
carpellate,pistillate
acarpelous,acarpellous
clinker-built,clincher-built
clinker-built,lap-strake
clinker-built,lap-straked
clinker-built,lap-streak
clinker-built,lap-streaked
carved,carven
engraved,etched
engraved,graven
engraved,incised
engraved,inscribed
graven,sculpted
graven,sculptured
radical,basal
caudate,caudated
bobtail,bobtailed
caudal,taillike
acaudate,acaudal
anurous,tailless
caulescent,cauline
caulescent,stemmed
acaulescent,stemless
activating,actuating
anorectic,anorexigenic
conducive,contributing
conducive,contributive
conducive,contributory
conducive,tributary
inductive,inducive
motivative,motive
motivative,motivating
motive,motor
responsible,responsible_for
sternutatory,sternutative
noncausative,noncausal
cagey,cagy
cagey,chary
guarded,restrained
hotheaded,impulsive
hotheaded,impetuous
hotheaded,madcap
hotheaded,tearaway
hotheaded,brainish
cancellate,cancellated
cancellate,cancellous
alveolate,faveolate
alveolate,cavitied
alveolate,honeycombed
alveolate,pitted
noncellular,acellular
single-celled,one-celled
compartmental,compartmentalized
compartmental,compartmentalised
porous,poriferous
center,halfway
center,middle
center,midway
centric,centrical
median,medial
middlemost,midmost
fringy,marginal
encircling,skirting
centripetal,receptive
centripetal,sensory
corticoafferent,corticipetal
efferent,motorial
centrifugal,motor
corticoefferent,corticofugal
corticoefferent,corticifugal
centralizing,centralising
centripetal,unifying
consolidative,integrative
decentralizing,decentralising
indisputable,sure
certain,sure
convinced,positive
convinced,confident
uncertain,unsure
uncertain,incertain
doubtful,dubious
cocksure,overconfident
cocksure,positive
self-assured,self-confident
diffident,shy
diffident,timid
diffident,unsure
certain,sure
bound,destined
doomed,fated
foreordained,predestinate
foreordained,predestined
chancy,fluky
chancy,flukey
chancy,iffy
fatal,fateful
ineluctable,inescapable
ineluctable,unavoidable
evitable,avoidable
evitable,avertible
evitable,avertable
changeable,changeful
erratic,fickle
erratic,mercurial
erratic,quicksilver
fluid,unstable
fluid,mobile
kaleidoscopic,kaleidoscopical
changeless,unalterable
fixed,frozen
set_in_stone,carved_in_stone
static,stable
static,unchanging
convertible,transformable
convertible,translatable
convertible,transmutable
inconvertible,untransmutable
unalterable,inalterable
final,last
well-adjusted,well-balanced
unadapted,unadjusted
emended,edited
unaltered,unchanged
dateless,timeless
in-situ,unmoved
denatured,denaturized
denatured,denaturised
ionized,ionised
nonionized,nonionised
nonionized,unionized
nonionized,unionised
nonionized,nonionic
mutable,changeable
immutable,changeless
diagnostic,symptomatic
distinctive,typical
hot,live
negative,electronegative
negative,negatively_charged
positive,electropositive
positive,positively_charged
neutral,electroneutral
dead,drained
beneficent,benevolent
beneficent,eleemosynary
beneficent,philanthropic
chartered,hired
chartered,leased
unowned,ownerless
celibate,continent
pure,vestal
pure,virgin
pure,virginal
pure,virtuous
easy,light
easy,loose
easy,promiscuous
easy,sluttish
easy,wanton
beaming,glad
beamish,smiling
beamish,twinkly
blithe,blithesome
blithe,lighthearted
blithe,lightsome
blithe,light-hearted
buoyant,chirpy
buoyant,perky
cheery,gay
cheery,sunny
chipper,debonair
chipper,debonaire
chipper,jaunty
depressing,cheerless
depressing,uncheerful
blue,dark
blue,dingy
blue,disconsolate
blue,dismal
blue,gloomy
blue,grim
blue,sorry
blue,drab
blue,drear
blue,dreary
somber,sombre
somber,melancholy
chondritic,granular
triclinic,anorthic
monochromatic,homochromatic
amber,brownish-yellow
amber,yellow-brown
aureate,gilded
aureate,gilt
aureate,gold
aureate,golden
azure,cerulean
azure,sky-blue
azure,bright_blue
blue,bluish
blue,blueish
bluish_green,blue-green
bluish_green,cyan
bluish_green,teal
blue-lilac,bluish-lilac
blue-purple,bluish-purple
blue-violet,bluish-violet
blushful,rosy
bright-red,raspberry-red
bronze,bronzy
brown,brownish
brown,chocolate-brown
brown,dark-brown
brown-green,brownish-green
brown-purple,brownish-purple
canary,canary-yellow
caramel,caramel_brown
coppery,copper_colored
cress_green,cresson
cress_green,watercress
fuscous,taupe
grey-blue,gray-blue
grey-blue,greyish-blue
grey-blue,grayish-blue
grey-brown,gray-brown
grey-brown,greyish-brown
grey-brown,grayish-brown
grey-green,gray-green
grey-green,greyish-green
grey-green,grayish-green
grey-pink,gray-pink
grey-pink,greyish-pink
grey-pink,grayish-pink
green,greenish
green,light-green
green,dark-green
jade,jade-green
lavender,lilac
lavender,lilac-colored
light-blue,pale_blue
lilac-blue,violet-blue
lilac-pink,lavender-pink
lilac-pink,violet-pink
maroon,brownish-red
moss_green,mosstone
mousy,mousey
mousy,mouse-colored
mousy,mouselike
ocher,ochre
olive-drab,drab
orange,orangish
orange-red,orangish-red
peachy,peachy-colored
peachy,peachy-coloured
pink,pinkish
pink-lavender,pinkish-lavender
pink-orange,pinkish-orange
pink-orange,salmon
pink-purple,pinkish-purple
powder_blue,powdery-blue
purple,violet
purple,purplish
purple-blue,purplish-blue
purple-brown,purplish-brown
purple-green,purplish-green
purple-lilac,purplish-lilac
purple-red,purplish-red
purple-tinged,purple-tinted
red,reddish
red,ruddy
red,blood-red
red,carmine
red,cerise
red,cherry
